Zip,Total Cases,Deaths
60514,"2,727",N/A
60515,"7,803",N/A
60516,"7,582",N/A
60517,"9,192",N/A
60518,912,N/A
60519,38,N/A
60520,789,N/A
60521,"4,715",N/A
60522,34,N/A
60523,"2,738",N/A
60524,11,N/A
60525,"9,002",N/A
60526,"3,765",N/A
60527,"8,029",N/A
60528,11,N/A
60530,167,N/A
60531,614,N/A
60532,"7,367",N/A
60534,"2,926",N/A
60535,6,N/A
60536,41,N/A
60537,153,N/A
60538,"9,046",N/A
60539,113,N/A
60540,"11,240",N/A
60541,836,N/A
60542,"5,573",N/A
60543,"11,444",N/A
60544,"7,951",N/A
60545,"4,551",N/A
60546,"4,426",N/A
60548,"3,620",N/A
60549,184,N/A
60550,413,N/A
60551,"2,143",N/A
60552,"1,119",N/A
60553,172,N/A
60554,"3,248",N/A
60555,"4,175",N/A
60556,470,N/A
60557,18,N/A
60558,"3,660",N/A
60559,"6,770",N/A
60560,"7,998",N/A
60561,"5,981",N/A
60562,6,N/A
60563,"10,753",N/A
60564,"11,871",N/A
60565,"10,167",N/A
60566,24,N/A
60567,75,N/A
60568,9,N/A
60569,7,N/A
60585,"7,170",N/A
60586,"14,858",N/A
60598,34,N/A
60601,"5,221",N/A
60602,448,N/A
60603,396,N/A
60604,451,N/A
60605,"6,943",N/A
60606,"1,123",N/A
60607,"8,479",N/A
60608,"18,930",N/A
60609,"15,829",N/A
60610,"10,358",N/A
60611,"8,318",N/A
60612,"9,586",N/A
60613,"12,429",N/A
60614,"17,877",N/A
60615,"8,880",N/A
60616,"11,311",N/A
60617,"18,641",N/A
60618,"23,327",N/A
60619,"13,477",N/A
60620,"14,765",N/A
60621,"6,463",N/A
60622,"14,210",N/A
60623,"22,594",N/A
60624,"8,493",N/A
60625,"19,935",N/A
60626,"11,830",N/A
60627,21,N/A
60628,"14,950",N/A
60629,"32,362",N/A
60630,"15,168",N/A
60631,"8,884",N/A
60632,"24,381",N/A
60633,"4,048",N/A
60634,"23,464",N/A
60635,24,N/A
60636,"7,952",N/A
60637,"11,539",N/A
60638,"17,524",N/A
60639,"27,776",N/A
60640,"15,406",N/A
60641,"20,168",N/A
60642,"5,327",N/A
60643,"12,241",N/A
60644,"11,290",N/A
60645,"12,794",N/A
60646,"7,982",N/A
60647,"22,402",N/A
60649,"9,628",N/A
60650,39,N/A
60651,"16,592",N/A
60652,"12,134",N/A
60653,"7,902",N/A
60654,"5,683",N/A
60655,"8,170",N/A
60656,"7,919",N/A
60657,"18,116",N/A
60659,"10,881",N/A
60660,"9,529",N/A
60661,"2,837",N/A
60663,11,N/A
60664,12,N/A
60666,16,N/A
60673,6,N/A
60678,8,N/A
60680,141,N/A
60690,53,N/A
60691,11,N/A
60699,8,N/A
60706,"7,357",N/A
60707,"12,882",N/A
60712,"5,733",N/A
60713,6,N/A
60714,"10,161",N/A
60803,"5,666",N/A
60804,"24,334",N/A
60805,"5,675",N/A
60806,8,N/A
60827,"5,724",N/A
60901,"11,884",N/A
60910,114,N/A
60911,382,N/A
60912,95,N/A
60913,400,N/A
60914,"9,043",N/A
60915,"3,300",N/A
60917,125,N/A
60918,270,N/A
60919,139,N/A
60920,39,N/A
60921,484,N/A
60922,631,N/A
60924,522,N/A
60926,11,N/A
60927,629,N/A
60928,186,N/A
60929,193,N/A
60930,361,N/A
60931,152,N/A
60932,41,N/A
60933,92,N/A
60934,97,N/A
60935,290,N/A
60936,"1,560",N/A
60938,684,N/A
60939,15,N/A
60940,758,N/A
60941,596,N/A
60942,"2,760",N/A
60944,26,N/A
60945,34,N/A
60946,118,N/A
60948,492,N/A
60949,194,N/A
60950,"3,360",N/A
60951,193,N/A
60952,238,N/A
60953,682,N/A
60954,"1,719",N/A
60955,636,N/A
60956,36,N/A
60957,"2,225",N/A
60958,448,N/A
60959,340,N/A
60960,312,N/A
60961,164,N/A
60962,166,N/A
60963,728,N/A
60964,"1,276",N/A
60966,344,N/A
60967,22,N/A
60968,116,N/A
60969,20,N/A
60970,"1,895",N/A
60973,172,N/A
60974,50,N/A
61001,258,N/A
61006,475,N/A
61007,142,N/A
61008,"10,481",N/A
61010,"2,672",N/A
61011,780,N/A
61012,670,N/A
61013,189,N/A
61014,256,N/A
61015,245,N/A
61016,"1,509",N/A
61018,282,N/A
61019,935,N/A
61020,"1,156",N/A
61021,"7,432",N/A
61024,750,N/A
61025,765,N/A
61027,14,N/A
61028,413,N/A
61030,768,N/A
61031,503,N/A
61032,"9,461",N/A
61036,"1,414",N/A
61037,41,N/A
61038,325,N/A
61039,247,N/A
61041,354,N/A
61042,117,N/A
61043,46,N/A
61044,66,N/A
61046,786,N/A
61047,477,N/A
61048,"1,173",N/A
61049,105,N/A
61050,94,N/A
61051,389,N/A
61052,352,N/A
61053,681,N/A
61054,"1,042",N/A
61059,52,N/A
61060,369,N/A
61061,"1,875",N/A
61062,547,N/A
61063,"1,118",N/A
61064,"1,030",N/A
61065,"3,419",N/A
61067,202,N/A
61068,"4,825",N/A
61070,315,N/A
61071,"4,502",N/A
61072,"3,402",N/A
61073,"6,252",N/A
61074,"1,088",N/A
61075,248,N/A
61077,30,N/A
61078,380,N/A
61079,19,N/A
61080,"3,437",N/A
61081,"7,479",N/A
61084,988,N/A
61085,809,N/A
61087,408,N/A
61088,"1,943",N/A
61089,224,N/A
61091,22,N/A
61101,"6,078",N/A
61102,"5,726",N/A
61103,"7,545",N/A
61104,"5,388",N/A
61105,36,N/A
61106,15,N/A
61107,"10,499",N/A
61108,"9,967",N/A
61109,"8,909",N/A
61110,34,N/A
61111,"7,728",N/A
61112,61,N/A
61114,"5,310",N/A
61115,"7,368",N/A
61125,42,N/A
61126,31,N/A
61132,21,N/A
61201,"10,012",N/A
61204,47,N/A
61224,51,N/A
61230,318,N/A
61231,"1,818",N/A
61232,373,N/A
61233,144,N/A
61234,378,N/A
61235,369,N/A
61236,30,N/A
61237,8,N/A
61238,835,N/A
61239,275,N/A
61240,"1,594",N/A
61241,"2,103",N/A
61242,281,N/A
61243,46,N/A
61244,"6,665",N/A
61250,718,N/A
61251,101,N/A
61252,"1,555",N/A
61254,"3,094",N/A
61256,523,N/A
61257,291,N/A
61258,42,N/A
61259,193,N/A
61260,200,N/A
61261,241,N/A
61262,192,N/A
61263,203,N/A
61264,"2,768",N/A
61265,"12,107",N/A
61266,36,N/A
61270,"2,161",N/A
61272,365,N/A
61273,892,N/A
61274,76,N/A
61275,"1,239",N/A
61276,40,N/A
61277,"1,033",N/A
61278,119,N/A
61279,274,N/A
61281,742,N/A
61282,"2,443",N/A
61283,377,N/A
61284,542,N/A
61285,"1,356",N/A
61301,"3,137",N/A
61310,"1,050",N/A
61311,67,N/A
61312,104,N/A
61313,81,N/A
61314,205,N/A
61315,82,N/A
61316,88,N/A
61317,106,N/A
61318,165,N/A
61319,356,N/A
61320,152,N/A
61321,96,N/A
61322,457,N/A
61323,31,N/A
61324,26,N/A
61325,263,N/A
61326,567,N/A
61327,280,N/A
61328,13,N/A
61329,369,N/A
61330,411,N/A
61332,26,N/A
61333,146,N/A
61334,189,N/A
61335,117,N/A
61336,117,N/A
61337,145,N/A
61338,103,N/A
61340,90,N/A
61341,"2,313",N/A
61342,"3,091",N/A
61344,102,N/A
61345,217,N/A
61346,13,N/A
61348,"1,387",N/A
61349,272,N/A
61350,"7,352",N/A
61353,361,N/A
61354,"3,296",N/A
61356,"3,101",N/A
61358,113,N/A
61359,88,N/A
61360,845,N/A
61361,344,N/A
61362,"1,905",N/A
61363,59,N/A
61364,"6,298",N/A
61367,198,N/A
61368,289,N/A
61369,556,N/A
61370,309,N/A
61371,19,N/A
61372,55,N/A
61373,587,N/A
61374,25,N/A
61375,223,N/A
61376,581,N/A
61377,375,N/A
61378,103,N/A
61379,362,N/A
61401,"9,606",N/A
61402,665,N/A
61410,"1,132",N/A
61411,96,N/A
61412,346,N/A
61413,228,N/A
61414,186,N/A
61415,430,N/A
61416,70,N/A
61417,51,N/A
61418,129,N/A
61419,31,N/A
61420,276,N/A
61421,383,N/A
61422,977,N/A
61423,141,N/A
61424,21,N/A
61425,73,N/A
61426,21,N/A
61427,678,N/A
61428,275,N/A
61430,203,N/A
61431,98,N/A
61432,183,N/A
61433,40,N/A
61434,883,N/A
61435,35,N/A
61436,187,N/A
61437,143,N/A
61438,173,N/A
61439,62,N/A
61440,184,N/A
61441,250,N/A
61442,179,N/A
61443,"4,860",N/A
61447,237,N/A
61448,"1,068",N/A
61449,127,N/A
61450,422,N/A
61451,79,N/A
61452,82,N/A
61453,152,N/A
61454,143,N/A
61455,"5,655",N/A
61458,152,N/A
61459,77,N/A
61460,55,N/A
61462,"3,169",N/A
61465,295,N/A
61466,93,N/A
61467,269,N/A
61468,20,N/A
61469,435,N/A
61470,155,N/A
61471,26,N/A
61472,144,N/A
61473,464,N/A
61474,69,N/A
61475,57,N/A
61476,95,N/A
61477,144,N/A
61478,62,N/A
61479,36,N/A
61480,328,N/A
61482,224,N/A
61483,647,N/A
61484,209,N/A
61485,139,N/A
61486,389,N/A
61488,267,N/A
61489,222,N/A
61490,252,N/A
61491,606,N/A
61501,569,N/A
61516,189,N/A
61517,889,N/A
61519,71,N/A
61520,"6,571",N/A
61523,"2,893",N/A
61524,82,N/A
61525,"3,332",N/A
61526,323,N/A
61528,909,N/A
61529,778,N/A
61530,"1,933",N/A
61531,990,N/A
61532,148,N/A
61533,636,N/A
61534,537,N/A
61535,523,N/A
61536,895,N/A
61537,805,N/A
61539,51,N/A
61540,766,N/A
61541,36,N/A
61542,"1,084",N/A
61543,23,N/A
61544,171,N/A
61545,188,N/A
61546,"1,273",N/A
61547,"1,177",N/A
61548,"3,889",N/A
61550,"5,988",N/A
61552,49,N/A
61553,66,N/A
61554,"13,613",N/A
61555,40,N/A
61559,832,N/A
61560,129,N/A
61561,812,N/A
61562,21,N/A
61563,152,N/A
61564,331,N/A
61565,340,N/A
61567,159,N/A
61568,"1,451",N/A
61569,306,N/A
61570,511,N/A
61571,"7,702",N/A
61572,283,N/A
61601,61,N/A
61602,329,N/A
61603,"4,908",N/A
61604,"9,828",N/A
61605,"4,251",N/A
61606,"1,588",N/A
61607,"3,467",N/A
61610,"1,546",N/A
61611,"7,702",N/A
61612,43,N/A
61613,8,N/A
61614,"8,588",N/A
61615,"7,240",N/A
61616,"1,970",N/A
61625,92,N/A
61636,14,N/A
61651,6,N/A
61701,"11,821",N/A
61702,74,N/A
61704,"12,382",N/A
61705,"5,031",N/A
61720,81,N/A
61721,197,N/A
61722,160,N/A
61723,841,N/A
61724,159,N/A
61725,509,N/A
61726,827,N/A
61727,"2,917",N/A
61728,482,N/A
61729,377,N/A
61730,108,N/A
61731,78,N/A
61732,724,N/A
61733,347,N/A
61734,763,N/A
61735,83,N/A
61736,761,N/A
61737,140,N/A
61738,"1,467",N/A
61739,"1,526",N/A
61740,530,N/A
61741,559,N/A
61742,314,N/A
61743,73,N/A
61744,571,N/A
61745,"1,522",N/A
61747,525,N/A
61748,"1,000",N/A
61749,161,N/A
61750,26,N/A
61751,37,N/A
61752,"1,398",N/A
61753,973,N/A
61754,384,N/A
61755,"1,499",N/A
61756,629,N/A
61759,549,N/A
61760,809,N/A
61761,"19,413",N/A
61764,"5,048",N/A
61769,177,N/A
61770,337,N/A
61771,222,N/A
61772,127,N/A
61773,168,N/A
61774,271,N/A
61775,123,N/A
61776,439,N/A
61777,255,N/A
61778,199,N/A
61790,745,N/A
61801,"10,100",N/A
61802,"7,296",N/A
61803,54,N/A
61810,98,N/A
61811,267,N/A
61812,128,N/A
61813,539,N/A
61814,542,N/A
61815,83,N/A
61816,160,N/A
61817,"1,077",N/A
61818,544,N/A
61820,"19,113",N/A
61821,"10,645",N/A
61822,"8,616",N/A
61824,44,N/A
61825,11,N/A
61826,78,N/A
61830,121,N/A
61831,55,N/A
61832,"13,974",N/A
61833,885,N/A
61834,"4,175",N/A
61839,139,N/A
61840,342,N/A
61841,514,N/A
61842,"1,054",N/A
61843,942,N/A
61844,357,N/A
61845,115,N/A
61846,"1,928",N/A
61847,528,N/A
61848,118,N/A
61849,552,N/A
61850,187,N/A
61851,94,N/A
61852,71,N/A
61853,"5,122",N/A
61854,469,N/A
61855,44,N/A
61856,"2,446",N/A
61857,73,N/A
61858,"1,296",N/A
61859,437,N/A
61862,199,N/A
61863,330,N/A
61864,685,N/A
61865,534,N/A
61866,"5,727",N/A
61870,474,N/A
61871,103,N/A
61872,208,N/A
61873,"2,435",N/A
61874,"3,185",N/A
61875,224,N/A
61876,272,N/A
61877,599,N/A
61878,458,N/A
61880,"1,837",N/A
61882,166,N/A
61883,"1,971",N/A
61884,349,N/A
61910,"1,872",N/A
61911,"1,092",N/A
61912,375,N/A
61913,510,N/A
61914,590,N/A
61917,203,N/A
61919,298,N/A
61920,"7,684",N/A
61924,803,N/A
61925,293,N/A
61928,250,N/A
61929,217,N/A
61930,206,N/A
61931,377,N/A
61932,128,N/A
61933,365,N/A
61936,84,N/A
61937,601,N/A
61938,"8,345",N/A
61940,73,N/A
61941,25,N/A
61942,435,N/A
61943,500,N/A
61944,"4,257",N/A
61949,63,N/A
61951,"2,696",N/A
61953,"2,538",N/A
61955,69,N/A
61956,"1,169",N/A
61957,632,N/A
62001,501,N/A
62002,"10,561",N/A
62006,242,N/A
62009,539,N/A
62010,"3,991",N/A
62011,101,N/A
62012,"2,042",N/A
62013,174,N/A
62014,"1,159",N/A
62015,167,N/A
62016,"1,162",N/A
62017,337,N/A
62018,"1,160",N/A
62019,117,N/A
62021,251,N/A
62022,312,N/A
62023,14,N/A
62024,"2,777",N/A
62025,"10,060",N/A
62026,294,N/A
62027,102,N/A
62028,227,N/A
62030,29,N/A
62031,257,N/A
62032,247,N/A
62033,"1,586",N/A
62034,"4,255",N/A
62035,"5,714",N/A
62036,236,N/A
62037,511,N/A
62040,"11,508",N/A
62044,521,N/A
62045,155,N/A
62046,286,N/A
62047,635,N/A
62048,371,N/A
62049,"4,239",N/A
62050,123,N/A
62051,301,N/A
62052,"4,700",N/A
62053,213,N/A
62054,233,N/A
62056,"3,113",N/A
62058,213,N/A
62059,122,N/A
62060,"1,022",N/A
62061,498,N/A
62062,"2,415",N/A
62063,320,N/A
62065,42,N/A
62067,798,N/A
62069,"1,037",N/A
62070,15,N/A
62074,263,N/A
62075,"1,123",N/A
62076,27,N/A
62077,82,N/A
62078,12,N/A
62079,98,N/A
62080,809,N/A
62081,72,N/A
62082,809,N/A
62083,74,N/A
62084,497,N/A
62085,63,N/A
62086,405,N/A
62087,609,N/A
62088,"2,276",N/A
62089,144,N/A
62090,247,N/A
62091,120,N/A
62092,"1,065",N/A
62093,147,N/A
62094,302,N/A
62095,"3,559",N/A
62097,800,N/A
62201,"1,577",N/A
62202,40,N/A
62203,"1,989",N/A
62204,"1,214",N/A
62205,"1,872",N/A
62206,"3,814",N/A
62207,"1,894",N/A
62208,"5,113",N/A
62214,296,N/A
62215,552,N/A
62216,"1,093",N/A
62217,273,N/A
62218,482,N/A
62219,356,N/A
62220,"5,830",N/A
62221,"8,622",N/A
62222,53,N/A
62223,"4,841",N/A
62225,"1,097",N/A
62226,"9,090",N/A
62230,"2,513",N/A
62231,"2,638",N/A
62232,"2,405",N/A
62233,"2,973",N/A
62234,"9,379",N/A
62236,"4,038",N/A
62237,851,N/A
62238,193,N/A
62239,"1,317",N/A
62240,433,N/A
62241,367,N/A
62242,402,N/A
62243,"1,768",N/A
62244,264,N/A
62245,593,N/A
62246,"2,961",N/A
62248,142,N/A
62249,"5,114",N/A
62250,148,N/A
62253,196,N/A
62254,"1,809",N/A
62255,242,N/A
62256,33,N/A
62257,829,N/A
62258,"3,053",N/A
62259,"1,096",N/A
62260,"1,911",N/A
62261,61,N/A
62262,544,N/A
62263,"1,516",N/A
62264,901,N/A
62265,"1,480",N/A
62266,76,N/A
62268,170,N/A
62269,"10,593",N/A
62271,517,N/A
62272,543,N/A
62273,95,N/A
62274,"3,497",N/A
62275,957,N/A
62277,391,N/A
62278,"2,486",N/A
62279,22,N/A
62280,100,N/A
62281,963,N/A
62282,157,N/A
62284,185,N/A
62285,"1,405",N/A
62286,"2,090",N/A
62288,"1,016",N/A
62289,131,N/A
62292,237,N/A
62293,"1,472",N/A
62294,"4,964",N/A
62295,429,N/A
62297,118,N/A
62298,"5,612",N/A
62301,"13,260",N/A
62305,"7,107",N/A
62306,23,N/A
62311,227,N/A
62312,795,N/A
62313,103,N/A
62314,197,N/A
62316,224,N/A
62319,37,N/A
62320,898,N/A
62321,"1,159",N/A
62323,72,N/A
62324,428,N/A
62325,161,N/A
62326,685,N/A
62330,373,N/A
62334,43,N/A
62336,25,N/A
62338,472,N/A
62339,360,N/A
62340,534,N/A
62341,964,N/A
62343,224,N/A
62344,32,N/A
62345,114,N/A
62346,67,N/A
62347,731,N/A
62348,13,N/A
62349,221,N/A
62351,652,N/A
62352,74,N/A
62353,"2,311",N/A
62354,372,N/A
62355,228,N/A
62356,220,N/A
62357,91,N/A
62358,151,N/A
62359,47,N/A
62360,619,N/A
62361,125,N/A
62362,117,N/A
62363,"2,399",N/A
62365,199,N/A
62366,488,N/A
62367,310,N/A
62370,160,N/A
62373,99,N/A
62374,71,N/A
62375,110,N/A
62376,457,N/A
62378,224,N/A
62379,542,N/A
62380,98,N/A
62401,"6,916",N/A
62410,335,N/A
