Zip,Total Cases,Deaths
62832,"3,673",N/A
62833,100,N/A
62835,393,N/A
62836,220,N/A
62837,"3,609",N/A
62838,533,N/A
62839,"3,039",N/A
62841,88,N/A
62842,280,N/A
62843,29,N/A
62844,795,N/A
62846,"1,091",N/A
62848,183,N/A
62849,711,N/A
62850,94,N/A
62851,101,N/A
62852,55,N/A
62853,283,N/A
62854,495,N/A
62856,96,N/A
62858,"1,111",N/A
62859,"1,751",N/A
62860,179,N/A
62861,10,N/A
62862,124,N/A
62863,"3,815",N/A
62864,"8,028",N/A
62865,787,N/A
62866,7,N/A
62867,166,N/A
62868,603,N/A
62869,929,N/A
62870,870,N/A
62871,183,N/A
62872,327,N/A
62874,132,N/A
62875,380,N/A
62876,50,N/A
62877,139,N/A
62878,142,N/A
62880,223,N/A
62881,"3,865",N/A
62882,803,N/A
62883,181,N/A
62884,"1,052",N/A
62885,264,N/A
62886,108,N/A
62887,90,N/A
62888,631,N/A
62889,217,N/A
62890,941,N/A
62891,203,N/A
62892,104,N/A
62893,295,N/A
62894,339,N/A
62895,602,N/A
62896,"4,550",N/A
62897,131,N/A
62898,639,N/A
62899,564,N/A
62901,"8,272",N/A
62902,"1,413",N/A
62903,858,N/A
62905,210,N/A
62906,"2,997",N/A
62907,608,N/A
62908,157,N/A
62909,7,N/A
62910,634,N/A
62912,335,N/A
62914,496,N/A
62915,256,N/A
62916,277,N/A
62917,999,N/A
62918,"4,353",N/A
62919,270,N/A
62920,"1,089",N/A
62921,129,N/A
62922,988,N/A
62923,171,N/A
62924,"1,041",N/A
62926,655,N/A
62927,99,N/A
62928,76,N/A
62930,"2,324",N/A
62931,494,N/A
62932,645,N/A
62933,598,N/A
62934,280,N/A
62935,772,N/A
62938,794,N/A
62939,"1,163",N/A
62940,116,N/A
62941,217,N/A
62942,207,N/A
62943,199,N/A
62946,"4,986",N/A
62947,136,N/A
62948,"5,191",N/A
62949,292,N/A
62950,64,N/A
62951,"2,062",N/A
62952,"1,191",N/A
62953,91,N/A
62954,152,N/A
62956,290,N/A
62957,195,N/A
62958,618,N/A
62959,"10,866",N/A
62960,"3,410",N/A
62961,12,N/A
62963,153,N/A
62964,406,N/A
62965,37,N/A
62966,"5,436",N/A
62967,135,N/A
62969,111,N/A
62970,182,N/A
62972,425,N/A
62974,493,N/A
62975,65,N/A
62976,130,N/A
62977,247,N/A
62979,436,N/A
62982,537,N/A
62983,577,N/A
62984,537,N/A
62985,289,N/A
62987,447,N/A
62988,393,N/A
62990,292,N/A
62992,449,N/A
62994,252,N/A
62995,"2,661",N/A
62996,177,N/A
62997,161,N/A
62998,90,N/A
62999,534,N/A
91761,21,N/A
