_time,totalNewCases,totalNewTests,undergradCases,undergradTests,gradCases,gradTests,facStaffCases,facStaffTests
Sat Dec 12 00:00:00 2020,5,2887,2,1121,1,619,2,1024
Sun Dec 13 00:00:00 2020,10,2966,6,1126,0,624,2,1073
Mon Dec 14 00:00:00 2020,12,7820,4,3172,3,1573,5,2831
Tue Dec 15 00:00:00 2020,12,5104,1,2165,3,918,7,1840
Wed Dec 16 00:00:00 2020,14,5695,9,2296,0,1240,4,1977
Thu Dec 17 00:00:00 2020,11,5766,4,2137,2,1152,5,2292
Fri Dec 18 00:00:00 2020,6,5621,3,2264,1,1056,2,2064
Sat Dec 19 00:00:00 2020,8,2440,3,819,1,533,4,962
Sun Dec 20 00:00:00 2020,4,2163,0,594,0,522,4,930
Mon Dec 21 00:00:00 2020,14,4741,3,880,1,1148,8,2475
Tue Dec 22 00:00:00 2020,9,3413,3,665,2,850,4,1711
Wed Dec 23 00:00:00 2020,8,4853,1,719,1,1010,6,2808
Sat Dec 26 00:00:00 2020,15,1536,8,338,2,370,4,721
Sun Dec 27 00:00:00 2020,10,1697,0,366,3,408,7,820
Mon Dec 28 00:00:00 2020,20,2295,9,473,3,635,6,1048
Tue Dec 29 00:00:00 2020,17,2095,3,518,3,443,11,1010
Wed Dec 30 00:00:00 2020,15,3259,7,759,3,758,5,1562
Sat Jan  2 00:00:00 2021,23,3425,8,870,8,753,5,1638
Sun Jan  3 00:00:00 2021,18,2634,6,607,1,650,10,1253
Mon Jan  4 00:00:00 2021,33,5363,16,995,4,1198,12,2912
Tue Jan  5 00:00:00 2021,26,3129,9,735,3,686,13,1550
Wed Jan  6 00:00:00 2021,12,3920,7,804,2,935,3,2014
Thu Jan  7 00:00:00 2021,15,3924,7,696,4,876,4,2148
Fri Jan  8 00:00:00 2021,14,3650,3,861,1,759,9,1865
Sat Jan  9 00:00:00 2021,4,1910,2,398,0,465,1,935
Sun Jan 10 00:00:00 2021,8,2401,3,523,3,644,2,1104
Mon Jan 11 00:00:00 2021,12,5708,3,1147,3,1336,5,2969
Tue Jan 12 00:00:00 2021,17,3719,7,862,0,865,10,1831
Wed Jan 13 00:00:00 2021,18,4124,6,935,3,976,6,2029
Thu Jan 14 00:00:00 2021,5,4172,3,961,1,871,1,2161
Fri Jan 15 00:00:00 2021,15,5832,4,1604,8,2001,2,2054
Sat Jan 16 00:00:00 2021,12,2836,11,1190,1,623,0,911
Sun Jan 17 00:00:00 2021,18,4631,15,2624,1,727,2,1135
Mon Jan 18 00:00:00 2021,31,8621,25,5363,4,1516,2,1551
Tue Jan 19 00:00:00 2021,29,9058,13,3602,7,2187,9,3047
Wed Jan 20 00:00:00 2021,22,7285,18,3741,2,1301,2,2062
Thu Jan 21 00:00:00 2021,22,8893,14,5272,2,1404,5,2027
Fri Jan 22 00:00:00 2021,23,10398,19,5948,0,1664,2,2547
Sat Jan 23 00:00:00 2021,20,7163,14,4540,4,1319,2,1163
Sun Jan 24 00:00:00 2021,17,9590,14,6525,1,1504,0,1376
Mon Jan 25 00:00:00 2021,24,11495,17,6901,2,1804,5,2568
Tue Jan 26 00:00:00 2021,21,9865,16,6107,3,1504,2,2076
Wed Jan 27 00:00:00 2021,18,9696,13,5597,0,1656,4,2233
Thu Jan 28 00:00:00 2021,18,10352,10,6408,1,1512,6,2237
Fri Jan 29 00:00:00 2021,16,10359,7,6254,2,1558,5,2311
Sat Jan 30 00:00:00 2021,4,4704,4,2591,0,871,0,1110
Sun Jan 31 00:00:00 2021,17,6619,14,4231,2,1151,1,1094
Mon Feb  1 00:00:00 2021,66,14153,59,8747,2,2140,4,2966
Tue Feb  2 00:00:00 2021,41,10122,35,6248,2,1453,4,2189
Wed Feb  3 00:00:00 2021,31,9639,24,5650,1,1664,6,2102
Thu Feb  4 00:00:00 2021,36,9446,29,5790,3,1330,4,2133
Fri Feb  5 00:00:00 2021,57,10894,48,6830,3,1582,4,2249
Sat Feb  6 00:00:00 2021,22,4840,22,2803,0,831,0,1061
Sun Feb  7 00:00:00 2021,43,6512,40,4229,1,1070,0,1045
Mon Feb  8 00:00:00 2021,77,13450,67,8506,5,1982,3,2686
Tue Feb  9 00:00:00 2021,70,10391,63,6630,2,1396,5,2150
Wed Feb 10 00:00:00 2021,44,9379,43,5725,0,1494,1,1959
Thu Feb 11 00:00:00 2021,39,10179,32,6414,1,1479,6,2065
Fri Feb 12 00:00:00 2021,30,10563,26,6554,0,1475,3,2292
Sat Feb 13 00:00:00 2021,24,4463,19,2447,2,883,2,1010
Sun Feb 14 00:00:00 2021,31,6411,25,4051,2,1226,3,1002
Mon Feb 15 00:00:00 2021,53,10678,44,6963,3,1630,6,1873
Tue Feb 16 00:00:00 2021,43,8256,34,5624,3,1348,6,1151
Wed Feb 17 00:00:00 2021,37,10623,30,5714,2,1898,4,2774
Thu Feb 18 00:00:00 2021,41,10318,36,6502,2,1550,3,2014
Fri Feb 19 00:00:00 2021,29,10627,21,6686,4,1539,4,2169
Sat Feb 20 00:00:00 2021,12,4860,9,2812,3,930,0,1000
Sun Feb 21 00:00:00 2021,14,7084,10,4378,2,1306,2,1245
Mon Feb 22 00:00:00 2021,32,13845,29,8431,1,2222,2,2909
Tue Feb 23 00:00:00 2021,26,10326,22,6531,2,1537,2,2034
Wed Feb 24 00:00:00 2021,19,9428,14,5572,2,1591,3,2054
Thu Feb 25 00:00:00 2021,9,9953,8,6019,1,1544,0,2142
Fri Feb 26 00:00:00 2021,11,10823,7,6638,1,1619,3,2320
Sat Feb 27 00:00:00 2021,7,4401,6,2427,0,896,1,964
Sun Feb 28 00:00:00 2021,5,6709,2,4109,2,1222,0,1192
Mon Mar  1 00:00:00 2021,15,14016,12,8320,1,2337,2,3060
Tue Mar  2 00:00:00 2021,10,9778,8,6048,1,1444,1,2029
Wed Mar  3 00:00:00 2021,10,9019,10,5280,0,1578,0,1968
Thu Mar  4 00:00:00 2021,9,10061,9,6218,0,1481,0,2111
Fri Mar  5 00:00:00 2021,7,10106,6,6099,1,1608,0,2144
Sat Mar  6 00:00:00 2021,4,4153,3,2361,1,808,0,874
Sun Mar  7 00:00:00 2021,5,6165,4,3632,0,1193,1,1200
Mon Mar  8 00:00:00 2021,23,14395,21,8762,2,2362,0,2955
Tue Mar  9 00:00:00 2021,10,9443,8,5864,1,1386,0,1987
Wed Mar 10 00:00:00 2021,10,8661,8,5172,0,1407,1,1897
Thu Mar 11 00:00:00 2021,5,9569,3,5811,1,1301,1,2037
Fri Mar 12 00:00:00 2021,8,9962,5,6012,0,1383,2,2152
Sat Mar 13 00:00:00 2021,3,3805,2,2121,0,615,1,796
Sun Mar 14 00:00:00 2021,2,5150,2,3018,0,1010,0,989
Mon Mar 15 00:00:00 2021,5,12407,4,7613,0,1754,1,2591
Tue Mar 16 00:00:00 2021,6,10063,3,6214,0,1454,3,2016
Wed Mar 17 00:00:00 2021,5,7469,2,4401,1,1187,2,1710
Thu Mar 18 00:00:00 2021,8,8028,5,4818,0,1126,2,1724
Fri Mar 19 00:00:00 2021,2,9711,2,5790,0,1429,0,2092
Sat Mar 20 00:00:00 2021,1,3817,1,2158,0,605,0,799
Sun Mar 21 00:00:00 2021,1,5228,1,3126,0,921,0,1037
Mon Mar 22 00:00:00 2021,11,13169,7,7885,2,1967,2,2847
Tue Mar 23 00:00:00 2021,8,8924,5,5276,2,1312,1,1959
Wed Mar 24 00:00:00 2021,11,7340,5,4177,2,1193,4,1777
Thu Mar 25 00:00:00 2021,9,8424,6,5041,1,1202,0,1964
Fri Mar 26 00:00:00 2021,9,9352,7,5703,1,1290,0,2090
Sat Mar 27 00:00:00 2021,6,3622,3,2049,2,634,1,828
Sun Mar 28 00:00:00 2021,4,5329,3,3175,0,939,1,1065
Mon Mar 29 00:00:00 2021,23,13293,19,8058,2,2029,2,2923
Tue Mar 30 00:00:00 2021,22,8687,20,5360,1,1186,1,1954
Wed Mar 31 00:00:00 2021,13,7543,10,4311,1,1213,2,1718
Thu Apr  1 00:00:00 2021,11,8591,6,5175,1,1277,4,1948
Fri Apr  2 00:00:00 2021,10,8983,6,5320,1,1309,3,2098
Sat Apr  3 00:00:00 2021,4,3389,4,1793,0,561,0,926
Sun Apr  4 00:00:00 2021,2,3220,2,1836,0,621,0,643
Mon Apr  5 00:00:00 2021,24,13513,19,8041,2,2161,2,2981
Tue Apr  6 00:00:00 2021,16,9024,6,5467,3,1293,6,2057
Wed Apr  7 00:00:00 2021,11,7223,8,4253,0,1056,3,1704
Thu Apr  8 00:00:00 2021,7,8187,5,4845,1,1157,1,1940
Fri Apr  9 00:00:00 2021,9,9225,5,5576,2,1329,1,2081
Sat Apr 10 00:00:00 2021,6,3321,3,1909,2,505,1,795
Sun Apr 11 00:00:00 2021,5,4788,4,2833,1,859,0,949
Mon Apr 12 00:00:00 2021,19,13480,15,8214,1,2075,3,2876
Tue Apr 13 00:00:00 2021,15,8474,10,5025,2,1328,2,1920
Wed Apr 14 00:00:00 2021,10,7944,9,4813,1,1200,0,1679
Thu Apr 15 00:00:00 2021,9,8610,8,5177,1,1241,0,2026
Fri Apr 16 00:00:00 2021,11,9070,6,5566,1,1273,3,2043
Sat Apr 17 00:00:00 2021,4,3370,2,1976,0,562,2,734
Sun Apr 18 00:00:00 2021,1,5126,1,3206,0,814,0,971
Mon Apr 19 00:00:00 2021,20,13598,14,8247,4,2064,1,2994
Tue Apr 20 00:00:00 2021,8,6822,3,4100,3,954,2,1631
Wed Apr 21 00:00:00 2021,18,8035,12,4958,3,1190,2,1680
Thu Apr 22 00:00:00 2021,11,8707,6,5208,0,1265,4,2028
Fri Apr 23 00:00:00 2021,10,8780,6,5278,1,1276,3,2038
Sat Apr 24 00:00:00 2021,7,3084,7,1768,0,489,0,734
Sun Apr 25 00:00:00 2021,11,4968,5,3010,1,851,5,951
Mon Apr 26 00:00:00 2021,11,13004,7,7827,1,2063,3,2909
Tue Apr 27 00:00:00 2021,8,8533,5,5163,0,1209,2,1926
Wed Apr 28 00:00:00 2021,5,6582,3,3866,0,962,2,1590
Thu Apr 29 00:00:00 2021,2,8265,1,4902,0,1164,1,2023
Fri Apr 30 00:00:00 2021,1,8520,0,5278,1,1225,0,1866
Sat May  1 00:00:00 2021,3,2862,1,1668,0,527,1,586
Sun May  2 00:00:00 2021,2,4627,1,2883,0,724,1,888
Mon May  3 00:00:00 2021,8,11622,5,6804,0,1788,3,2831
Tue May  4 00:00:00 2021,8,7341,5,4389,0,1023,3,1767
Wed May  5 00:00:00 2021,2,6728,2,4041,0,1061,0,1466
Thu May  6 00:00:00 2021,3,6769,3,3716,0,1011,0,1907
Fri May  7 00:00:00 2021,0,7442,0,4267,0,1163,0,1851
Sat May  8 00:00:00 2021,1,2799,1,1661,0,476,0,586
Sun May  9 00:00:00 2021,3,3610,3,2165,0,623,0,708
Mon May 10 00:00:00 2021,1,9901,1,5101,0,1767,0,2863
Tue May 11 00:00:00 2021,4,6575,4,3463,0,1144,0,1830
Wed May 12 00:00:00 2021,2,5431,2,2893,0,990,0,1394
Thu May 13 00:00:00 2021,2,5466,1,2546,0,992,1,1797
Fri May 14 00:00:00 2021,3,5167,2,2174,0,1029,1,1805
Sat May 15 00:00:00 2021,1,1590,1,646,0,371,0,508
Sun May 16 00:00:00 2021,2,1932,0,634,1,497,0,699
Mon May 17 00:00:00 2021,5,4081,2,900,1,926,1,2052
Tue May 18 00:00:00 2021,3,2679,1,698,0,664,2,1186
Wed May 19 00:00:00 2021,2,2318,0,577,0,503,2,1129
Thu May 20 00:00:00 2021,1,1899,0,389,0,500,1,932
Fri May 21 00:00:00 2021,0,2012,0,451,0,524,0,954
Sat May 22 00:00:00 2021,0,749,0,130,0,220,0,346
Sun May 23 00:00:00 2021,0,1140,0,256,0,318,0,481
Mon May 24 00:00:00 2021,3,3605,0,686,1,926,2,1810
Tue May 25 00:00:00 2021,2,2288,0,494,1,572,0,1161
Wed May 26 00:00:00 2021,0,2024,0,387,0,502,0,1068
Thu May 27 00:00:00 2021,1,1768,0,333,1,482,0,879
Fri May 28 00:00:00 2021,1,1802,1,309,0,483,0,866
Sat May 29 00:00:00 2021,0,773,0,157,0,211,0,345
Sun May 30 00:00:00 2021,0,889,0,214,0,227,0,384
Tue Jun  1 00:00:00 2021,2,4152,0,811,1,1159,1,2054
Wed Jun  2 00:00:00 2021,1,2449,0,440,0,599,1,1321
Thu Jun  3 00:00:00 2021,1,1948,0,416,0,453,1,944
Fri Jun  4 00:00:00 2021,1,1912,1,395,0,480,0,917
Sat Jun  5 00:00:00 2021,0,675,0,96,0,171,0,341
Sun Jun  6 00:00:00 2021,0,870,0,174,0,235,0,395
Mon Jun  7 00:00:00 2021,0,2901,0,574,0,773,0,1435
Tue Jun  8 00:00:00 2021,1,2238,0,424,0,623,0,1116
Wed Jun  9 00:00:00 2021,0,2044,0,380,0,500,0,1079
Thu Jun 10 00:00:00 2021,0,1825,0,411,0,479,0,865
Fri Jun 11 00:00:00 2021,1,1691,0,339,0,417,1,805
Sat Jun 12 00:00:00 2021,0,624,0,97,0,167,0,315
Sun Jun 13 00:00:00 2021,0,918,0,206,0,233,0,407
Mon Jun 14 00:00:00 2021,1,2967,0,615,0,784,1,1478
Tue Jun 15 00:00:00 2021,1,2128,0,404,0,579,0,1067
Wed Jun 16 00:00:00 2021,0,1904,0,319,0,471,0,1056
Thu Jun 17 00:00:00 2021,0,1770,0,409,0,443,0,815
Fri Jun 18 00:00:00 2021,0,1565,0,278,0,431,0,785
Sat Jun 19 00:00:00 2021,0,424,0,61,0,135,0,195
Sun Jun 20 00:00:00 2021,0,498,0,95,0,133,0,233
Mon Jun 21 00:00:00 2021,0,1800,0,352,0,436,0,936
Tue Jun 22 00:00:00 2021,0,1101,0,218,0,247,0,590
Wed Jun 23 00:00:00 2021,0,847,0,155,0,189,0,471
Thu Jun 24 00:00:00 2021,1,737,0,166,0,150,1,354
Fri Jun 25 00:00:00 2021,0,811,0,151,0,182,0,415
Sat Jun 26 00:00:00 2021,0,268,0,50,0,69,0,122
Sun Jun 27 00:00:00 2021,0,271,0,58,0,69,0,113
Mon Jun 28 00:00:00 2021,0,1219,0,258,0,282,0,645
Tue Jun 29 00:00:00 2021,0,836,0,161,0,177,0,467
Wed Jun 30 00:00:00 2021,0,649,0,120,0,153,0,353
Thu Jul  1 00:00:00 2021,1,669,0,169,0,127,1,330
Fri Jul  2 00:00:00 2021,0,717,0,111,0,137,0,358
Sat Jul  3 00:00:00 2021,0,235,0,43,0,55,0,107
Tue Jul  6 00:00:00 2021,1,1246,1,213,0,268,0,723
Wed Jul  7 00:00:00 2021,2,729,2,122,0,137,0,430
Thu Jul  8 00:00:00 2021,0,702,0,156,0,137,0,341
Fri Jul  9 00:00:00 2021,1,694,0,114,0,122,1,405
Sat Jul 10 00:00:00 2021,1,191,0,35,1,42,0,94
Sun Jul 11 00:00:00 2021,0,154,0,38,0,31,0,73
Mon Jul 12 00:00:00 2021,4,855,0,173,1,161,3,492
Tue Jul 13 00:00:00 2021,1,627,0,116,1,120,0,360
Wed Jul 14 00:00:00 2021,1,557,0,112,0,116,0,309
Thu Jul 15 00:00:00 2021,3,605,1,132,2,91,0,303
Fri Jul 16 00:00:00 2021,0,637,0,92,0,103,0,373
Sat Jul 17 00:00:00 2021,2,194,1,31,1,41,0,108
Sun Jul 18 00:00:00 2021,2,260,0,56,1,50,0,123
Mon Jul 19 00:00:00 2021,7,876,1,152,0,169,6,521
Tue Jul 20 00:00:00 2021,2,644,0,98,0,120,2,389
Wed Jul 21 00:00:00 2021,3,561,1,94,0,99,2,342
Thu Jul 22 00:00:00 2021,4,644,3,103,0,111,1,337
Fri Jul 23 00:00:00 2021,7,649,2,85,0,139,4,402
Sat Jul 24 00:00:00 2021,0,185,0,38,0,35,0,96
Sun Jul 25 00:00:00 2021,1,233,0,48,0,45,0,116
Mon Jul 26 00:00:00 2021,1,853,0,152,1,132,0,544
Tue Jul 27 00:00:00 2021,5,702,2,119,1,140,2,402
Wed Jul 28 00:00:00 2021,8,677,2,135,2,122,4,390
Thu Jul 29 00:00:00 2021,7,784,3,121,1,155,3,395
Fri Jul 30 00:00:00 2021,4,944,1,123,0,170,3,534
Sat Jul 31 00:00:00 2021,2,289,2,48,0,58,0,163
Sun Aug  1 00:00:00 2021,0,388,0,91,0,65,0,209
Mon Aug  2 00:00:00 2021,5,1289,1,201,1,216,3,810
Tue Aug  3 00:00:00 2021,8,926,2,166,1,136,4,574
Wed Aug  4 00:00:00 2021,7,935,2,180,0,161,3,515
Thu Aug  5 00:00:00 2021,7,1019,2,167,1,166,3,584
Fri Aug  6 00:00:00 2021,7,1052,3,169,0,170,4,663
Sat Aug  7 00:00:00 2021,3,339,0,80,1,71,1,163
Sun Aug  8 00:00:00 2021,8,451,1,98,1,85,5,232
Mon Aug  9 00:00:00 2021,8,1275,2,161,0,258,6,790
Tue Aug 10 00:00:00 2021,7,1080,1,151,1,190,5,667
Wed Aug 11 00:00:00 2021,8,922,3,141,0,195,5,532
Thu Aug 12 00:00:00 2021,8,975,2,128,1,209,3,572
Fri Aug 13 00:00:00 2021,8,1304,4,216,0,285,3,740
Sat Aug 14 00:00:00 2021,3,425,1,107,0,93,2,185
Sun Aug 15 00:00:00 2021,5,740,0,259,0,145,5,265
Mon Aug 16 00:00:00 2021,12,2206,2,810,2,396,7,864
Tue Aug 17 00:00:00 2021,11,1691,3,660,2,258,6,684
Wed Aug 18 00:00:00 2021,17,1930,7,985,0,298,10,529
Thu Aug 19 00:00:00 2021,15,2131,10,987,1,357,4,689
Fri Aug 20 00:00:00 2021,14,2072,6,951,2,352,6,705
Sat Aug 21 00:00:00 2021,8,1265,7,859,0,167,0,206
Sun Aug 22 00:00:00 2021,19,2485,14,1805,2,350,3,264
Mon Aug 23 00:00:00 2021,29,4487,18,2899,0,601,8,904
Tue Aug 24 00:00:00 2021,22,3155,13,1996,2,363,6,728
Wed Aug 25 00:00:00 2021,25,3175,18,2171,0,363,7,594
Thu Aug 26 00:00:00 2021,19,3153,15,2055,3,352,1,684
Fri Aug 27 00:00:00 2021,21,3839,18,2445,2,433,1,886
Sat Aug 28 00:00:00 2021,26,1284,26,934,0,152,0,174
Sun Aug 29 00:00:00 2021,23,3183,18,2503,3,308,1,323
Mon Aug 30 00:00:00 2021,74,5434,61,3684,7,634,5,1026
Tue Aug 31 00:00:00 2021,62,5557,51,4161,4,492,7,788
Wed Sep  1 00:00:00 2021,43,5314,32,3931,3,497,7,762
Thu Sep  2 00:00:00 2021,25,5384,21,3687,2,668,2,903
Fri Sep  3 00:00:00 2021,25,4318,19,2665,0,525,6,1022
Sat Sep  4 00:00:00 2021,12,1282,11,867,0,149,0,215
Sun Sep  5 00:00:00 2021,15,1744,13,1159,0,243,2,276
Mon Sep  6 00:00:00 2021,10,2712,8,1966,0,331,1,348
Tue Sep  7 00:00:00 2021,18,5502,12,3507,1,645,5,1220
Wed Sep  8 00:00:00 2021,25,3954,23,2755,0,413,2,674
Thu Sep  9 00:00:00 2021,33,5247,26,4020,1,389,6,752
